,brand,price,currency,oldPrice,discountIn%,shepper,rating,topSeller,description
349,شاومي,5599.0,جنيه ,0,0,noon-express,4.6,no,شاومي Redmi 10 2022 Dual SIM Carbon Gray 4GB RAM 128GB - Global Version …
350,ريل مي,2914.0,جنيه ,4400,33,noon-express,4.5,yes,ريل مي C11 (2021) Dual SIM Cool Blue 2GB RAM 32GB 4G LTE - Middle East Version …
351,سامسونج,2999.0,جنيه ,3199,6,noon-express,4.6,yes,سامسونج Galaxy A03 Core Dual SIM Onyx Black 2GB RAM 32GB LTE - Middle East Version …
352,شاومي,3020.0,جنيه ,3444,12,noon-express,4.6,yes,شاومي هاتف ريدمي 9A ثنائي الشريحة بذاكرة داخلية 32 جيجابايت وذاكرة رام 2 جيجابايت ويدعم تقنية 4G LTE، لون أزرق …
353,شاومي,3010.0,جنيه ,3444,12,noon-express,4.5,yes,شاومي هاتف ريدمي 9A ثنائي الشريحة بذاكرة رام سعة 2 جيجابايت وذاكرة داخلية سعة 32 جيجابايت ويدعم تقنية 4G LTE، لون رمادي جرانيت …
354,سامسونج,3090.0,جنيه ,0,0,noon-express,4.5,no,سامسونج Galaxy A03 Core Dual SIM Bronze 2GB RAM 32GB LTE - Middle East Version …
355,إنفينيكس,3555.0,جنيه ,0,0,noon-express,5.0,no,إنفينيكس هاتف سمارت 6 ثنائي الشريحة بذاكرة رام سعة 3 جيجابايت وذاكرة داخلية سعة 64 جيجابايت ويدعم تقنية 4G LTE، لون أسود ميدنايت …
356,إنفينيكس,3698.0,جنيه ,0,0,noon-express,4.3,no,إنفينيكس Smart 6 Dual SIM 3GB RAM 64GB 4G LTE Heart Of Ocean/Ocean Wave …
357,إنفينيكس,3939.0,جنيه ,0,0,noon-express,4.9,no,إنفينيكس هاتف هوت 11 بلاي ثنائي الشريحة بذاكرة رام سعة 4 جيجابايت وذاكرة داخلية سعة 64 جيجابايت ويدعم تقنية 4G LTE بلون ذهبي صن سيت …
358,إنفينيكس,3939.0,جنيه ,0,0,noon-express,5.0,no,إنفينيكس هاتف هوت 11 بلاي ثنائي الشريحة بذاكرة رام سعة 4 جيجابايت وذاكرة داخلية سعة 64 جيجابايت ويدعم تقنية 4G LTE بلون أخضر هيز …
